"id","region","problem1","party","days_a_week_news","left_right","membership_eu","sex","birth_year","social_class","urban","religion","wealth","newspaper"
1,"South East","Economic Conditions","Conservatives","7",5,"Bad thing","Male",1921,"Middle class","Suburbs of large town or city","No, do not belong to a denomination",5,"daily telegraph"
1,"South East","Economic Conditions","Conservatives","7",5,"Bad thing","Male",1921,"Middle class","Suburbs of large town or city","No, do not belong to a denomination",5,"the times"
2,"London","Economic Conditions","[DK]","7",6,"Neither","Male",1988,"Working class","Large town or city","Roman Catholic",3,"guardian"
2,"London","Economic Conditions","[DK]","7",6,"Neither","Male",1988,"Working class","Large town or city","Roman Catholic",3,"the mirror"
2,"London","Economic Conditions","[DK]","7",6,"Neither","Male",1988,"Working class","Large town or city","Roman Catholic",3,"metro"
3,"London","Fight against terrorism","Conservatives","7",7,"Good thing","Male",1969,"Middle class","Suburbs of large town or city","Church of England",5,"the times"
3,"London","Fight against terrorism","Conservatives","7",7,"Good thing","Male",1969,"Middle class","Suburbs of large town or city","Church of England",5,"sunday times"
4,"South East","Taxes","Labour","5",5,"Neither","Male",1964,"Middle class","Small or middle-sized town","Hindu",4,"Don't read newspapers"
5,"North West","Unemployment","Liberal Democrats","6",3,"Neither","Male",1947,"Working class","Large town or city","No, do not belong to a denomination",2,"guardian"
6,"South East","Debt (public debt of a state, a community etc.)","[NONE]","7",5,"Neither","Male",1938,"Middle class","Rural area or village","No, do not belong to a denomination",5,"Don't read newspapers"
7,"West Midlands","Economic Conditions","Labour","5",8,"Bad thing","Male",1990,"Working class","Small or middle-sized town","Church of England",5,"guardian"
7,"West Midlands","Economic Conditions","Labour","5",8,"Bad thing","Male",1990,"Working class","Small or middle-sized town","Church of England",5,"the mirror"
8,"East of England","Democracy (code this if you cannot use specific codes)","Labour","7",9,"Good thing","Male",1938,"Middle class","Rural area or village","No, do not belong to a denomination",4,"daily telegraph"
8,"East of England","Democracy (code this if you cannot use specific codes)","Labour","7",9,"Good thing","Male",1938,"Middle class","Rural area or village","No, do not belong to a denomination",4,"the times"
8,"East of England","Democracy (code this if you cannot use specific codes)","Labour","7",9,"Good thing","Male",1938,"Middle class","Rural area or village","No, do not belong to a denomination",4,"sunday telegraph"
8,"East of England","Democracy (code this if you cannot use specific codes)","Labour","7",9,"Good thing","Male",1938,"Middle class","Rural area or village","No, do not belong to a denomination",4,"sunday times"
